SectionID,CourseCode,CourseTitle,TermCode,TermID,StartDate,EndDate,Days,SectionStatus,RoomName,PrimaryInstructor,PrimaryPayment,SecondaryInstructor,SecondaryPayment
10000,LAT-103,Beginner Conversation,SU11,120,7/11/2011,9/19/2011,Mon,AC,,O. LIVIUS,,,
10001,LAT-203,Conversation II,SU11,120,7/11/2011,9/19/2011,Mon,AC,,S. TATIUS,,,
10002,LAT-101,Beginner I,SU11,120,7/11/2011,9/26/2011,Mon,AC,,C. CORNELIUS,,,
10003,LAT-102,Beginner II,SU11,120,7/11/2011,9/26/2011,Mon,AC,,C. CORNELIUS,,,
10004,LAT-201,Intermediate Latin I,SU11,120,7/11/2011,9/26/2011,Mon,AC,,O. LIVIUS,,,
10005,LAT-304,Advanced Conversation and Grammar,SU11,120,7/11/2011,9/26/2011,Mon,AC,,S. TATIUS,,,
10006,LAT-101,Beginner I,SU11,120,7/5/2011,9/13/2011,Tue,AC,,F. JUNIUS,,,
10007,LAT-102,Beginner II,SU11,120,7/5/2011,9/13/2011,Tue,AC,,V. SERGIUS,,,
10008,LAT-301,Advanced Latin I,SU11,120,7/5/2011,9/13/2011,Tue,AC,,G. LUCIANUS,,,
10009,LAT-201,Intermediate Latin I,SU11,120,7/5/2011,9/13/2011,Tue,AC,,V. SERGIUS,,,
10010,LAT-202,Intermediate Latin II,SU11,120,7/5/2011,9/13/2011,Tue,AC,,F. JUNIUS,,,
10011,LAT-302,Advanced Latin II,SU11,120,7/5/2011,9/13/2011,Tue,AC,,G. LUCIANUS,,,
10012,LAT-121,Latin for You,SU11,120,7/20/2011,9/28/2011,Wed,AC,,C. CORNELIUS,,,
10013,LAT-101,Beginner I,SU11,120,7/20/2011,9/28/2011,Wed,AC,,G. LUCIANUS,,,
10014,LAT-303,Advanced Latin III,SU11,120,7/20/2011,9/28/2011,Wed,AC,,L. MARIUS,,,
10015,LAT-102,Beginner II,SU11,120,7/20/2011,9/28/2011,Wed,AC,,C. CORNELIUS,,,
10016,LAT-201,Intermediate Latin I,SU11,120,7/20/2011,9/28/2011,Wed,AC,,G. LUCIANUS,,,
10017,LAT-202,Intermediate Latin II,SU11,120,7/20/2011,9/28/2011,Wed,AC,,L. MARIUS,,,
10018,LAT-103,Beginner Conversation,SU11,120,7/16/2011,9/17/2011,Sat,AC,,S. TATIUS,,,
10019,LAT-203,Conversation II,SU11,120,7/16/2011,9/17/2011,Sat,AC,,O. LIVIUS,,,
10020,LAT-101,Beginner I,SU11,120,7/16/2011,9/24/2011,Sat,AC,,G. LUCIANUS,,,
10021,LAT-201,Intermediate Latin I,SU11,120,7/16/2011,9/24/2011,Sat,AC,,M. AETIUS,,,
10022,LAT-102,Beginner II,SU11,120,7/16/2011,9/24/2011,Sat,AC,,G. LUCIANUS,,,
10023,LAT-202,Intermediate Latin II,SU11,120,7/16/2011,9/24/2011,Sat,AC,,S. TATIUS,,,
10024,LAT-301,Advanced Latin I,SU11,120,7/16/2011,9/24/2011,Sat,AC,Cannae,O. LIVIUS,,,
10025,LAT-302,Advanced Latin II,SU11,120,7/16/2011,9/24/2011,Sat,AC,,M. AETIUS,,,
10026,LAT-103,Beginner Conversation,SU11,120,,,Mon,AC,,,,O. LIVIUS,
10027,LAT-103,Beginner Conversation,FA11,130,10/3/2011,12/5/2011,Mon,CN,,O. LIVIUS,1125,,
10028,LAT-203,Conversation II,FA11,130,10/3/2011,12/5/2011,Mon,AC,Alexandria,G. LUCIANUS,1125,,
10029,LAT-304,Advanced Conversation and Grammar,FA11,130,10/3/2011,12/12/2011,Mon,CN,,S. TATIUS,985,G. TATIUS,500
10030,LAT-101,Beginner I,FA11,130,10/3/2011,12/12/2011,Mon,AC,,,,,
10031,LAT-101,Beginner I,FA11,130,10/3/2011,12/12/2011,Mon,AC,Rome,N. AFRICANUS,1485,,
10034,LAT-475,Movies,FA11,130,10/3/2011,12/5/2011,Mon,CN,,G. LUCIANUS,1350,,
10035,LAT-313,Conversation I,FA11,130,10/4/2011,12/6/2011,Tue,AC,Alexandria,G. LUCIANUS,1350,,
10036,LAT-102,Beginner II,FA11,130,10/3/2011,12/12/2011,Mon,AC,Rome,N. AFRICANUS,1485,,
